id,status,maxEntryPerUser,nftAddress,nftId,winner,extractedNumber,raisedInWei,raisedInEther,platformPercentage,requiredNFT,totalEntries,cancellingDate
411,"ended","50","0x209e639a0EC166Ac7a1A4bA41968fa967dB30221","640","0x475545D483e132218a72273268654c3960C1f28C","20","240000000000000000","0.24","0","0x0000000000000000000000000000000000000000","32","fine non impostata"
412,"ended","50","0x209e639a0EC166Ac7a1A4bA41968fa967dB30221","2608","0xE76Dd6a005a17f960902659856d026Fbe74f7E29","8","216000000000000000","0.216","0","0x0000000000000000000000000000000000000000","29","fine non impostata"
413,"ended","50","0x209e639a0EC166Ac7a1A4bA41968fa967dB30221","6524","0xE76Dd6a005a17f960902659856d026Fbe74f7E29","1","192000000000000000","0.192","0","0x0000000000000000000000000000000000000000","25","fine non impostata"
414,"ended","50","0x209e639a0EC166Ac7a1A4bA41968fa967dB30221","3273","0xB7E4D84efbbE8F4454227CB15A9a0b4fEA547F0d","19","192000000000000000","0.192","0","0x0000000000000000000000000000000000000000","25","fine non impostata"
415,"ended","50","0x209e639a0EC166Ac7a1A4bA41968fa967dB30221","8817","0xCA8958A3341DACACf62986d095B75c7291b1a1fB","33","272000000000000000","0.272","0","0x0000000000000000000000000000000000000000","36","fine non impostata"
416,"ended","50","0x209e639a0EC166Ac7a1A4bA41968fa967dB30221","2053","0x55f439233c0f60e668A8D8678cEd3c211F184bD8","13","240000000000000000","0.24","0","0x0000000000000000000000000000000000000000","31","fine non impostata"
417,"ended","50","0x209e639a0EC166Ac7a1A4bA41968fa967dB30221","4784","0x48e5753175b890B92827F643014D72EDB48f316B","7","256000000000000000","0.256","0","0x0000000000000000000000000000000000000000","32","fine non impostata"
418,"ended","50","0x209e639a0EC166Ac7a1A4bA41968fa967dB30221","2194","0xe46059e33F74951376d0b9b47CE5f2d9EC8Eae96","42","312000000000000000","0.312","0","0x0000000000000000000000000000000000000000","44","fine non impostata"
419,"ended","50","0x209e639a0EC166Ac7a1A4bA41968fa967dB30221","3421","0x151E5ade1573Cbd54a6CC4312A5e63733a1DdE35","36","272000000000000000","0.272","0","0x0000000000000000000000000000000000000000","37","fine non impostata"
420,"ended","50","0x209e639a0EC166Ac7a1A4bA41968fa967dB30221","2195","0x6D769f012EA529D898c82bfFdA7f51ecF4bd89Ef","5","168000000000000000","0.168","0","0x0000000000000000000000000000000000000000","22","fine non impostata"
421,"ended","50","0x209e639a0EC166Ac7a1A4bA41968fa967dB30221","556","0x87AF25dA616dBb0987644aFD2BD7F3c6b4fE644b","4","280000000000000000","0.28","0","0x0000000000000000000000000000000000000000","39","fine non impostata"
422,"ended","50","0x209e639a0EC166Ac7a1A4bA41968fa967dB30221","2286","0x4e2Dce8d5E7712C103bD0336300D0fb4bf31D8f2","3","208000000000000000","0.208","0","0x0000000000000000000000000000000000000000","28","fine non impostata"
423,"ended","50","0x394E3d3044fC89fCDd966D3cb35Ac0B32B0Cda91","8669","0x6923fFf662971F71e8A28eb001BCe4B001Ea5C3a","54","2310000000000000000","2.31","0","0x0000000000000000000000000000000000000000","72","fine non impostata"
424,"ended","50","0x394E3d3044fC89fCDd966D3cb35Ac0B32B0Cda91","5355","0x4c5d06D24c8988d366341a51D63196B5B268f8EC","60","2013000000000000000","2.013","0","0x0000000000000000000000000000000000000000","63","fine non impostata"
425,"ended","50","0x394E3d3044fC89fCDd966D3cb35Ac0B32B0Cda91","3363","0x55ecCD591DeB4bb551e779aE2d3a73e3aE598FD5","56","2574000000000000000","2.574","0","0x0000000000000000000000000000000000000000","81","fine non impostata"
426,"ended","1","0x1792a96E5668ad7C167ab804a100ce42395Ce54D","9420","0xc0ea3f7a901F43986D47FEE528613eA77bB253A0","36","0","0.0","0","0x0000000000000000000000000000000000000000","141","fine non impostata"
427,"ended","250","0x87084ec881d5A15C918057F326790dB177D218F2","6090","0xEF1c6B4E89ed6f12A6BbFdf34227EE51a196147D","15","282000000000000000","0.282","0","0x0000000000000000000000000000000000000000","141","fine non impostata"
428,"ended","250","0x0c2E57EFddbA8c768147D1fdF9176a0A6EBd5d83","5457","0x226048F6B4DC4261C09C775A0f97D0DB69284aa0","96","562000000000000000","0.562","0","0x0000000000000000000000000000000000000000","281","fine non impostata"
429,"ended","250","0x9378368ba6b85c1FbA5b131b530f5F5bEdf21A18","36861","0xEb4BBA374e3351Ca1de281a78D72787628c0bef5","271","584000000000000000","0.584","0","0x0000000000000000000000000000000000000000","292","fine non impostata"
